1608762000,0.1188,0.1188,0.1188,0.1188,6.01654638,1
1608762060,0.1184,0.1184,0.1184,0.1184,1.14422778,4
1608762240,0.1149,0.1149,0.1149,0.1149,9.07977,1
1608762300,0.1174,0.1182,0.1174,0.1182,1.44629736,2
1608762360,0.1199,0.1217,0.1199,0.1217,21.38070754,6
1608762420,0.1216,0.1216,0.1216,0.1216,4.69108509,4
1608762960,0.1227,0.1229,0.1225,0.1227,68.14128042,10
1608763020,0.1225,0.1228,0.1225,0.1228,6.45177837,2
1608763140,0.1231,0.1233,0.1231,0.1233,5.48595466,4
1608763200,0.1298,0.1298,0.1298,0.1298,6,1
1608764040,0.1236,0.1247,0.1236,0.1247,0.21454271,2
1608764280,0.1244,0.1244,0.1244,0.1244,0.21742302,1
1608764580,0.1274,0.1274,0.1274,0.1274,8.23604489,1
1608764940,0.1297,0.1297,0.1297,0.1297,0.657,1
1608766980,0.1289,0.1289,0.1289,0.1289,0.10394036,1
1608767520,0.129,0.129,0.129,0.129,0.14317348,1
1608767760,0.1293,0.1293,0.1293,0.1293,0.664,1
1608768420,0.1294,0.1294,0.1294,0.1294,0.25498107,1
1608769560,0.1274,0.1274,0.1274,0.1274,0.2,3
1608769740,0.1275,0.1275,0.1275,0.1275,1.61119561,1
1608769800,0.128,0.128,0.128,0.128,1.0037541,1
1608769860,0.1277,0.1277,0.1277,0.1277,3.62398172,3
1608769920,0.1273,0.1273,0.1273,0.1273,0.30240127,1
1608770460,0.1269,0.1269,0.1269,0.1269,0.72220513,1
1608770640,0.1262,0.1262,0.1262,0.1262,0.74390591,1
1608770700,0.126,0.126,0.126,0.126,0.73600038,1
1608772080,0.1277,0.1277,0.1277,0.1277,0.41622625,1
1608772740,0.128,0.128,0.128,0.128,6.24617213,1
1608774540,0.1287,0.1287,0.1287,0.1287,1.09748172,3
1608774840,0.1292,0.1292,0.1292,0.1292,0.18510403,1
1608777480,0.1284,0.1284,0.1284,0.1284,0.35844569,1
1608778500,0.1286,0.1286,0.1286,0.1286,1.09525661,1
1608779040,0.1299,0.1299,0.1299,0.1299,0.11091581,1
1608780060,0.1292,0.1292,0.1292,0.1292,0.15166721,1
1608782520,0.1304,0.1304,0.1304,0.1304,0.2016257,1
1608783540,0.1296,0.1296,0.1282,0.1282,30.01884451,5
1608786420,0.1263,0.1263,0.1263,0.1263,0.1,1
1608789660,0.1275,0.1275,0.1275,0.1275,0.24363974,1
1608792000,0.1251,0.1251,0.1251,0.1251,0.32935073,1
1608792720,0.1244,0.1244,0.1244,0.1244,0.1,1
1608793140,0.1249,0.125,0.1249,0.125,13.9,2
1608797940,0.1283,0.1283,0.1283,0.1283,1,1
1608800400,0.1299,0.1299,0.1299,0.1299,0.18536623,1
1608804780,0.1302,0.1302,0.1302,0.1302,0.65069124,1
1608810900,0.1302,0.1302,0.1302,0.1302,0.21898706,1
1608811320,0.1317,0.1317,0.1317,0.1317,0.2,1
1608811380,0.1316,0.1316,0.1316,0.1316,27,3
1608813180,0.1306,0.1306,0.1306,0.1306,0.3,1
1608817020,0.1291,0.1291,0.1291,0.1291,13.77651674,1
1608817140,0.1297,0.1297,0.1297,0.1297,1.09471082,3
1608817500,0.1307,0.1307,0.1307,0.1307,7.98620576,1
1608821580,0.1328,0.1328,0.1328,0.1328,0.26808035,1
1608822420,0.1333,0.1333,0.1333,0.1333,0.2,1
1608823020,0.1335,0.1335,0.1333,0.1333,0.79999999,4
1608830100,0.1313,0.1313,0.1313,0.1313,0.1,1
1608830160,0.1296,0.1296,0.1296,0.1296,6.07561702,2
1608830220,0.1313,0.1313,0.1313,0.1313,0.0001,1
1608831960,0.1318,0.1318,0.1318,0.1318,5.93146973,1
1608833160,0.1307,0.1307,0.1307,0.1307,0.28957848,1
1608834960,0.1308,0.1308,0.1308,0.1308,1,1
1608840360,0.1297,0.1297,0.1297,0.1297,0.13128085,1
1608842820,0.1299,0.1299,0.1299,0.1299,7.69823,1
1608844020,0.1292,0.1292,0.1292,0.1292,3,1
1608844560,0.1289,0.1289,0.1289,0.1289,2,2
1608846000,0.129,0.129,0.129,0.129,0.24302326,1
1608848280,0.13,0.13,0.13,0.13,0.24302326,3
1608850200,0.1295,0.1296,0.1295,0.1296,10.86,3
1608851160,0.1305,0.1305,0.1305,0.1305,2,1
1608853320,0.1312,0.1312,0.1312,0.1312,0.10303177,1
1608861000,0.13,0.13,0.13,0.13,0.7692308,1
1608864180,0.1278,0.1278,0.1278,0.1278,0.67878659,1
1608864480,0.1282,0.1282,0.1282,0.1282,0.16797368,1
1608865200,0.1287,0.1287,0.1284,0.1284,8.79751127,2
1608881040,0.1279,0.1279,0.1279,0.1279,3.5,1
1608882360,0.1276,0.1276,0.1276,0.1276,0.16045527,1
1608896160,0.1285,0.1285,0.1285,0.1285,0.4,1
1608898140,0.1291,0.1291,0.1291,0.1291,0.5,1
1608905100,0.1266,0.1266,0.1266,0.1266,9.87361769,1
1608907500,0.1259,0.1259,0.1259,0.1259,0.4,1
1608913260,0.1269,0.1269,0.1269,0.1269,0.68288446,1
1608914640,0.1267,0.1267,0.1267,0.1267,8.62580233,1
1608916320,0.1248,0.1248,0.1248,0.1248,0.1,1
1608917940,0.1241,0.1241,0.1241,0.1241,7.99999997,4
1608923040,0.124,0.124,0.124,0.124,0.99999998,3
1608928320,0.1247,0.1247,0.1247,0.1247,1,1
1608936540,0.1266,0.1266,0.1266,0.1266,0.1,1
1608936840,0.1267,0.1267,0.1267,0.1267,0.1955751,1
1608938100,0.1277,0.1277,0.1277,0.1277,1,1
1608938700,0.1275,0.1275,0.1275,0.1275,0.31,1
1608974940,0.1235,0.1235,0.1235,0.1235,0.43207593,1
1608976080,0.1238,0.1238,0.1238,0.1238,0.21678094,1
1608983040,0.1236,0.1236,0.1236,0.1236,0.10618687,1
1608987060,0.1224,0.1224,0.1224,0.1224,0.17817405,1
1608989760,0.1229,0.1229,0.1229,0.1229,3.26263995,4
1608990360,0.1227,0.1227,0.1227,0.1227,3.15999994,3
1608996660,0.1209,0.1209,0.1209,0.1209,0.1,1
1608996960,0.1191,0.1191,0.1191,0.1191,0.1,1
1608999540,0.1191,0.1191,0.1191,0.1191,0.0001,1
1608999720,0.1198,0.1198,0.1198,0.1198,8.3342607,1
1609000020,0.1204,0.1204,0.1204,0.1204,0.35065852,1
